Variable;Valeur
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx309_DescendPermitEffective;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx310_ErrorOperatorComm;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx311_ErrorEncoder;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx312_ErrorPhaseRotation;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx313_ErrorMecaA;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx314_ErrorMecaB;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx315_ErrorMecaC;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx316_ErrorMecaD;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx317_ErrorMecaE;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx318_ErrorBrakeThermal;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx319_ErrorOppositeDir;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx320_ErrorNoMovement;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx321_CfgTopLimitM;REAL#7.5
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx322_CablePosM;REAL#244.140625
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx323_TopLimitReached;TRUE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx324_AscentBlockedByTopLimit;TRUE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx325_BypassTopLimitSoftware;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx326_BypassTopLimitSoftCommun;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx327_BypassTopLimitSwitch;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx328_BypassTopLimitSwitchCommun;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx329_BypassGlobal;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx330_BypassGlobalCommun;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx401_MotionAllowed;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx402_SpeedStepCalculated;INT#0
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx403_SpeedRamp_Pct;REAL#0
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx404_BrakeReleaseAuthorized;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx405_FinalInterlockState;E_WinchFinalInterlockState.DISABLED
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx406_FinalInterlockReason;E_WinchFinalInterlockReason.NONE
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx407_FinalAuthorizedStep;INT#0
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx408_BrakeCommandOpenConfirmed;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx409_BrakeTimeoutElapsed;TIME#0ms
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx410_RestartDelayElapsed;TIME#0ms
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx411_StepDelayElapsed;TIME#0ms
GVL_Troubleshooting.LevageUnitaireM1.Control_400.Idx412_InTopSlowdownZone;FALSE
