fichier,ligne,index,libelle,garde,est_formateur
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,992,AlarmCount,'[BENNE] ErrorID:05 - codeurs treuils non references',((BucketErrorId AND 16#0010) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,997,AlarmCount,'[SYNC] ErrorID:01 - ecart M1/M2',((SyncErrorId AND 16#0001) <> 16#0000) AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1000,AlarmCount,'[SYNC] ErrorID:02 - incoherence commande',((SyncErrorId AND 16#0002) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1013,AlarmCount,"CONCAT('[SYNC] discordance M1/M2 persistante -> coupure : ', BannerSyncContactorWhich)",SyncContactorDiag.MismatchLevel >= 2 THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1015,AlarmCount,"CONCAT('[SYNC] discordance contacteurs M1/M2 -> arret : ', BannerSyncContactorWhich)",SyncContactorDiag.MismatchLevel >= 2 THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1022,AlarmCount,'[DIVE] ErrorID:01 - timeout immersion',((DiveErrorId AND 16#0001) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1025,AlarmCount,'[DIVE] ErrorID:02 - timeout fond',((DiveErrorId AND 16#0002) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1028,AlarmCount,'[DIVE] ErrorID:03 - limite basse atteinte',((DiveErrorId AND 16#0004) <> 16#0000) AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1031,AlarmCount,'[DIVE] ErrorID:04 - contact fond perdu',((DiveErrorId AND 16#0008) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1034,AlarmCount,'[DIVE] ErrorID:05 - perte tension cable',((DiveErrorId AND 16#0010) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1037,AlarmCount,'[DIVE] ErrorID:06 - anomalie vitesse',((DiveErrorId AND 16#0020) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1040,AlarmCount,'[DIVE] ErrorID:07 - config invalide',((DiveErrorId AND 16#0040) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1043,AlarmCount,'[EXTRACTION] ErrorID:01 - fond',((ExtractionErrorId AND 16#0001) <> 16#0000) AND LocalIoValid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1046,AlarmCount,'[EXTRACTION] ErrorID:02 - fermeture',((ExtractionErrorId AND 16#0002) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1049,AlarmCount,'[EXTRACTION] ErrorID:03 - controle',((ExtractionErrorId AND 16#0004) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1052,AlarmCount,'[EXTRACTION] ErrorID:04 - config',((ExtractionErrorId AND 16#0008) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1057,AlarmCount,'[AU] ErrorID:01 - redondance contacteurs',((EmergencyErrorId AND 16#0001) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1060,AlarmCount,'[AU] ErrorID:02 - echec confirmation armement',((EmergencyErrorId AND 16#0002) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1063,AlarmCount,'[AU] ErrorID:04 - echec autotest demarrage',((EmergencyErrorId AND 16#0008) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1068,AlarmCount,'[CYCLE] ErrorID:01 - limite legale atteinte',((CycleErrorId AND 16#0001) <> 16#0000) AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1071,AlarmCount,'[CYCLE] ErrorID:02 - defaut synchro treuils',((CycleErrorId AND 16#0002) <> 16#0000) AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1074,AlarmCount,'[CYCLE] ErrorID:04 - ecart codeurs remontee',((CycleErrorId AND 16#0008) <> 16#0000) AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1077,AlarmCount,'[CYCLE] ErrorID:05 - ecart vitesse confirme',((CycleErrorId AND 16#0010) <> 16#0000) AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1080,AlarmCount,'[CYCLE] ErrorID:06 - perte communication IHM',((CycleErrorId AND 16#0020) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1083,AlarmCount,'[CYCLE] ErrorID:07 - timeout etape',((CycleErrorId AND 16#0040) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1086,AlarmCount,'[CYCLE] ErrorID:03 - ecart vitesse montee',((CycleErrorId AND 16#0004) <> 16#0000) AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1089,AlarmCount,'[CYCLE] ErrorID:08 - hors FDC haut translation P1',((CycleErrorId AND 16#0080) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1092,AlarmCount,'[CYCLE] ErrorID:09 - palier 5 interdit en plongee',((CycleErrorId AND 16#0100) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1095,AlarmCount,'[CYCLE] ErrorID:10 - palier 4 non confirme Kobold',((CycleErrorId AND 16#0200) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1098,AlarmCount,'[CYCLE] ErrorID:12 - consigne profondeur invalide',((CycleErrorId AND 16#0800) <> 16#0000) AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1113,AlarmCount,'[HISTO] [M1] ErrorID:01 - perte com operateur',(HistoM1 AND 16#0001) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1116,AlarmCount,'[HISTO] [M1] ErrorID:02 - perte codeur',(HistoM1 AND 16#0002) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1119,AlarmCount,'[HISTO] [M1] ErrorID:03 - surchauffe moteur',(HistoM1 AND 16#0004) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1122,AlarmCount,'[HISTO] [M1] ErrorID:04 - mou de cable',(HistoM1 AND 16#0008) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st,1125,AlarmCount,'[HISTO] [M1] ErrorID:05 - rotation phases',(HistoM1 AND 16#0010) <> 16#0000 AND (AlarmCount < CST_NbMaxAlarmes) THEN,oui
