nom,tier,type,fichier,ligne,bloc,pou,declaration
AxisBlockReason,T2(elargi),E_WinchTraceBlockReason,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,23,STRUCT,,AxisBlockReason         : E_WinchTraceBlockReason;
Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,27,STRUCT,,Error                   : BOOL;
ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,28,STRUCT,,ErrorId                 : WORD;
FinalInterlockError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,40,STRUCT,,FinalInterlockError     : BOOL;
FinalInterlockErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,41,STRUCT,,FinalInterlockErrorId   : WORD;
Idx309_ErrorOperatorComm,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,12,STRUCT,,Idx309_ErrorOperatorComm : BOOL;
Idx310_ErrorDriveComm,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,13,STRUCT,,Idx310_ErrorDriveComm    : BOOL;
Idx311_ErrorPhaseRotation,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,14,STRUCT,,Idx311_ErrorPhaseRotation: BOOL;
Idx312_ErrorBrakeThermal,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,15,STRUCT,,Idx312_ErrorBrakeThermal : BOOL;
Idx313_ErrorMecaB,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,16,STRUCT,,Idx313_ErrorMecaB        : BOOL;
Idx314_ErrorMecaA,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,17,STRUCT,,Idx314_ErrorMecaA        : BOOL;
Idx315_ErrorLimitSwitch,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/2_TRANSLATION/ST_Chain_Translation_Safety.st,18,STRUCT,,Idx315_ErrorLimitSwitch  : BOOL;
