//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first
;Input;;Universal digital input;%IB0;Local_Digital_IO
;Bit1@3;;C00.01 Output Frequency;%IX18.1;AC600_ECAT_Drive
;Bit2@3;;C00.01 Output Frequency;%IX18.2;AC600_ECAT_Drive
;Bit3@3;;C00.01 Output Frequency;%IX18.3;AC600_ECAT_Drive
;Bit4@3;;C00.01 Output Frequency;%IX18.4;AC600_ECAT_Drive
;Bit5@3;;C00.01 Output Frequency;%IX18.5;AC600_ECAT_Drive
;Bit6@3;;C00.01 Output Frequency;%IX18.6;AC600_ECAT_Drive
;Bit7@3;;C00.01 Output Frequency;%IX18.7;AC600_ECAT_Drive
;Bit8@3;;C00.01 Output Frequency;%IX19.0;AC600_ECAT_Drive
;Bit9@3;;C00.01 Output Frequency;%IX19.1;AC600_ECAT_Drive
;Bit10@3;;C00.01 Output Frequency;%IX19.2;AC600_ECAT_Drive
;Bit11@3;;C00.01 Output Frequency;%IX19.3;AC600_ECAT_Drive
;Bit12@3;;C00.01 Output Frequency;%IX19.4;AC600_ECAT_Drive
;Bit13@3;;C00.01 Output Frequency;%IX19.5;AC600_ECAT_Drive
;Bit14@3;;C00.01 Output Frequency;%IX19.6;AC600_ECAT_Drive
;Bit15@3;;C00.01 Output Frequency;%IX19.7;AC600_ECAT_Drive
COD2_PresettTrigCmd;Preset Trigger Command;;Preset Trigger Command;%QW8;COD2_CODEUR
;Bit0;;Preset Trigger Command;%QX16.0;COD2_CODEUR
;Bit1;;Preset Trigger Command;%QX16.1;COD2_CODEUR
;Bit2;;Preset Trigger Command;%QX16.2;COD2_CODEUR
;Bit3;;Preset Trigger Command;%QX16.3;COD2_CODEUR
;Bit4;;Preset Trigger Command;%QX16.4;COD2_CODEUR
;Bit5;;Preset Trigger Command;%QX16.5;COD2_CODEUR
;Bit6;;Preset Trigger Command;%QX16.6;COD2_CODEUR
;Bit7;;Preset Trigger Command;%QX16.7;COD2_CODEUR
;Bit8;;Preset Trigger Command;%QX17.0;COD2_CODEUR
;Bit9;;Preset Trigger Command;%QX17.1;COD2_CODEUR
;Bit10;;Preset Trigger Command;%QX17.2;COD2_CODEUR
