Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
5737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
6937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7838;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
7937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8290;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8462;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8564;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8652;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8752;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8853;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
8962;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9062;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9155;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9253;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9363;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9458;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9564;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9654;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9764;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9866;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
9965;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10052;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10153;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10261;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10363;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
10463;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
